INDEX,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,COMMENT,BUSHFIRE_LOCATION,GENRE,SECOND_QUOTE_TRANSCRIPTION,SECOND_QUOTE_TRANSCRIPTION_2,
1,23616_22_12_1932_13_1__37693276.txt,Western Australia,char-offset:108,PLACE,http://sws.geonames.org/2058645,Western Australia,,-25.46584927,122.1768386,,VERIFIED,,,,Western Australia,Western Australia,
2,23616_22_12_1932_13_1__37693276.txt,London,char-offset:2881,PLACE,http://sws.geonames.org/2643743,London,,51.50853,-0.12574,,VERIFIED,,,,London,London,
3,23616_22_12_1932_13_1__37693276.txt,Perth,char-offset:3417,PLACE,http://sws.geonames.org/2063523,Perth,,-31.95224,115.8614,,VERIFIED,,,,Perth,Perth,
4,23616_22_12_1932_13_1__37693276.txt,Hampshire,char-offset:6587,PLACE,http://geo-kima.org/place/8553,Hampshire (England),,51.128022,-1.1731,,VERIFIED,,,,Hampshire,Hampshire,
5,23616_22_12_1932_13_1__37693276.txt,England,char-offset:7144,PLACE,http://geo-kima.org/place/12708,England,,52.3555,-1.1743,,UNVERIFIED,,,,England,England,
6,23616_22_12_1932_13_1__37693276.txt,England,char-offset:8754,PLACE,http://geo-kima.org/place/12708,England,,52.3555,-1.1743,,UNVERIFIED,,,,England,England,
7,23616_22_12_1932_13_1__37693276.txt,Western Australia,char-offset:8834,PLACE,http://sws.geonames.org/2058645,Western Australia,,-25.46584927,122.1768386,,VERIFIED,,,,Western Australia,Western Australia,
8,23616_22_12_1932_13_1__37693276.txt,London,char-offset:9835,PLACE,http://sws.geonames.org/2643743,London,,51.50853,-0.12574,,VERIFIED,,,,London,London,
9,23616_22_12_1932_13_1__37693276.txt,Gibraltar,char-offset:10107,PLACE,http://sws.geonames.org/2411586,Gibraltar,,36.13396226,-5.349628931,,VERIFIED,,,,Gibraltar,Gibraltar,
10,23616_22_12_1932_13_1__37693276.txt,Tilbury,char-offset:10303,PLACE,Google Maps,,,51.464195,0.358191,,NOT_IDENTIFIABLE,,,,Tilbury,Tilbury,
11,23586_9_06_1933_4_XXIII. (Continued)_None_64724597.txt,,char-offset:2678,PLACE,http://sws.geonames.org/2638360,Scotland,,,,,VERIFIED,,,,,,
12,23586_9_06_1933_4_XXIII. (Continued)_None_64724597.txt,Scotland,char-offset:3753,PLACE,http://sws.geonames.org/2638360,Scotland,,56.4907,4.2026,,VERIFIED,,,,Scotland,Scotland,
13,"24451_9_02_1928_17_15_Ch XIII, XIV_146843153.txt",Hlrdsoye,char-offset:5250,PLACE,,,,,,,NOT_IDENTIFIABLE,,,,Hlrdsoye,Hlrdsoye,
14,"24451_9_02_1928_17_15_Ch XIII, XIV_146843153.txt",Yambatilli,char-offset:23058,PLACE,,,,,,,NOT_IDENTIFIABLE,Imaginary,,,Yambatilli,Yambatilli,
15,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,Sydney,char-offset:4184,PLACE,http://sws.geonames.org/2147714,Sydney,,-33.86785,151.20732,,VERIFIED,,,,Sydney,Sydney,
16,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,Geelong,char-offset:6624,PLACE,http://sws.geonames.org/2165798,Geelong,,-38.14711,144.36069,,VERIFIED,,,,Geelong,Geelong,
17,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,Broome,char-offset:6636,PLACE,http://sws.geonames.org/2075720,Broome,,-17.95538,122.23922,,VERIFIED,,,,Broome,Broome,
18,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,America,char-offset:6716,PLACE,http://sws.geonames.org/2759831,America,,51.43667,5.97917,,VERIFIED,,,,America,America,
19,23723_3_04_1932_12_VIII_Christmas Day_58660805.txt,San Francisco,char-offset:6752,PLACE,,,,37.675117,122.398635,,NOT_IDENTIFIABLE,,,,San Francisco,San Francisco,
20,23586_12_05_1933_4_XXI. (Continued) & XXII._None_64724521.txt,Tonga,char-offset:2508,PLACE,http://sws.geonames.org/4032283,Tonga,,-19.99367402,-174.8647797,,VERIFIED,,,,Tonga,Tonga,
21,23476_18_03_1931_19_None__74671570.txt,Central Australia,char-offset:193,PLACE,http://sws.geonames.org/2064513,Northern Territory,,-19.41553057,133.3658772,,VERIFIED,,,,Central Australia,Central Australia,
22,23916_9_11_1918_42_I_Defeat_22366486.txt,Southern Tablelands,char-offset:416,PLACE,,,,-34.577953,149.939114,,NOT_IDENTIFIABLE,Geographic Region,,,Southern Tablelands,Southern Tablelands,
23,23916_9_11_1918_42_I_Defeat_22366486.txt,Wilcannia,char-offset:490,PLACE,,,,-31.261304,143.531292,,NOT_IDENTIFIABLE,,,,Wilcannia,Wilcannia,
24,23916_9_11_1918_42_I_Defeat_22366486.txt,Sydney,char-offset:3864,PLACE,http://sws.geonames.org/2147714,Sydney,,-33.86785,151.20732,,VERIFIED,,,,Sydney,Sydney,
25,23916_9_11_1918_42_I_Defeat_22366486.txt,Shoalhaveu River,char-offset:5379,PLACE,,,,35.245415,149.935256,,NOT_IDENTIFIABLE,,,,Shoalhaveu River,Shoalhaveu River,
26,23916_9_11_1918_42_I_Defeat_22366486.txt,Pig Island,char-offset:7726,PLACE,,,,,,,NOT_IDENTIFIABLE,unclear,,,Pig Island,Pig Island,
27,23916_9_11_1918_42_I_Defeat_22366486.txt,Broughton Creek,char-offset:7881,PLACE,,,,34.782885,150.714633,,NOT_IDENTIFIABLE,,,,Broughton Creek,Broughton Creek,
28,23916_9_11_1918_42_I_Defeat_22366486.txt,Sydney,char-offset:9773,PLACE,http://sws.geonames.org/2147714,Sydney,,-33.86785,151.20732,,VERIFIED,,,,Sydney,Sydney,
29,23916_9_11_1918_42_I_Defeat_22366486.txt,Sydney,char-offset:9881,PLACE,http://sws.geonames.org/2147714,Sydney,,-33.86785,151.20732,,VERIFIED,,,,Sydney,Sydney,
