placename,anps id,state,lga,parish,feature_term,latitude,longitude,source,flag,description,datestart,dateend,external_url
Bendeena,303248,NSW,,,homestead,-29.488575,148.139123,State Records (ANPS),,,,,
Bendemeer,2195,NSW,PARRY,BENDEMEER,parish,-30.865,150.1844444,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Bendemeer,2196,NSW,BREWARRINA,NAVINA,trig station,-30.08166667,146.8677778,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A major trig station on Bendemeer Mountain. TS6919           ,,,
Bendemeer,2197,NSW,PARRY,BENDEMEER,trig station,-30.83166667,151.1511111,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A Trig Station situated about 4 km NNW of Bendemeer. TS851.           ,,,
Bendemeer,2198,NSW,PARRY,BENDEMEER,locality (bounded),-30.88166667,151.1511111,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,Situated at the intersection of the New England and Oxley Highway 40 km N of Tamworth.   Boundaries shown on map marked GNB 3797       ,,,
Bendemeer,302027,NSW,,,homestead,-30.31068,146.20492,State Records (ANPS),,,,,
Bendemeer,313407,NSW,,,homestead,-35.781552,145.498401,State Records (ANPS),,,,,
Bendemere,148961,QLD,,,homestead,-26.5,149.4,State Records (ANPS),,"Alternative Name: --; Location: 149°24'00"" E, 26°30'00"" S; QLD Comments: --; Unapproved; Current",,,
Bendemere,148962,QLD,,,parish,-26.51666667,149.4333333,State Records (ANPS),,"Alternative Name: --; Location: 149°26'00"" E, 26°31'00"" S; QLD Comments: --; Approved; Current",,,
Bendemere,319399,NSW,,,homestead,-33.7776865,148.854925,State Records (ANPS),,,,,
Bendemere,319585,NSW,,,homestead,-34.5675805,149.5262045,State Records (ANPS),,,,,
Boorooma,9081,NSW,WALGETT,BOOROOMA,parish,-30.01222222,147.4855556,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A parish in the Western Division Parish DP No. 752654          ,,,
Boorooma,9082,NSW,WAGGA WAGGA,NORTH WAGGA WAGGA,suburb,-35.07222222,147.3677778,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,"A suburb of Wagga Wagga, located east of Boorooma Street, about 24 km N of Wagga Wagga Railway Station.   Boundaries within the Wagga Wagga Council area shown on map GNB3814.       ",,,
Boorooma,302000,NSW,,,homestead,-31.21759,146.47316,State Records (ANPS),,,,,
Boorooma,303933,NSW,,,homestead,-30.1037915,147.465555,State Records (ANPS),,,,,
Burra,13109,NSW,TUMBARUMBA,BURRA,locality (bounded),-35.82388889,148.0905556,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A locality about 7km east south east of Tumbarumba and about 20km north of Tooma.   Boundaries shown on map marked GNB 3808.       ,,,
Burra,13110,NSW,EUROBODALLA,BURRA,parish,-35.89833333,149.9511111,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Burra,13111,NSW,LACHLAN,BURRA,parish,-32.715,147.4011111,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Burra,13112,NSW,YARROWLUMLA,BURRA,parish,-35.53166667,149.2177778,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
Burra,13113,NSW,GUNDAGAI,BURRA,parish,-34.89833333,148.0011111,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A lands administrative division.           ,,,
